type,size,time,comparisons,exchanges
insertion,4,3005,5,2,
insertion,4,1883,6,3,
insertion,4,1262,7,4,
insertion,4,1393,6,3,
insertion,4,1463,8,5,
insertion,4,1583,7,4,
insertion,4,1653,6,3,
insertion,4,1072,5,2,
insertion,4,1112,7,4,
insertion,4,1062,5,2,


insertion,8,1974,26,19,
insertion,8,2394,19,12,
insertion,8,2295,20,13,
insertion,8,2354,25,18,
insertion,8,2835,32,25,
insertion,8,3387,17,10,
insertion,8,1993,20,13,
insertion,8,3276,17,10,
insertion,8,3246,19,12,
insertion,8,2765,23,16,


insertion,16,5541,72,57,
insertion,16,5751,75,60,
insertion,16,6702,66,51,
insertion,16,6612,84,69,
insertion,16,6552,97,82,
insertion,16,4689,59,44,
insertion,16,6412,83,68,
insertion,16,5190,65,50,
insertion,16,5159,65,50,
insertion,16,5650,71,56,


insertion,32,33382,302,271,
insertion,32,16040,270,239,
insertion,32,16741,285,254,
insertion,32,19105,296,265,
insertion,32,20107,341,310,
insertion,32,16831,244,213,
insertion,32,20748,285,254,
insertion,32,14086,192,161,
insertion,32,13726,218,187,
insertion,32,18545,319,288,


insertion,64,61495,1110,1047,
insertion,64,102551,1120,1057,
insertion,64,61975,957,894,
insertion,64,68388,1042,979,
insertion,64,64931,1062,999,
insertion,64,65713,1079,1016,
insertion,64,66304,1124,1061,
insertion,64,61494,1019,956,
insertion,64,98314,1129,1066,
insertion,64,105276,1066,1003,


insertion,128,386200,4156,4029,
insertion,128,334343,3971,3844,
insertion,128,264343,3986,3859,
insertion,128,279752,4371,4244,
insertion,128,298096,4156,4029,
insertion,128,293978,4393,4266,
insertion,128,214500,3972,3845,
insertion,128,239276,4430,4303,
insertion,128,215752,4026,3899,
insertion,128,215081,3987,3860,


insertion,256,685227,15888,15633,
insertion,256,139049,15805,15550,
insertion,256,139621,16580,16325,
insertion,256,132326,16355,16100,
insertion,256,139299,16742,16487,
insertion,256,133048,16107,15852,
insertion,256,137306,17210,16955,
insertion,256,128059,16190,15935,
insertion,256,136144,16832,16577,
insertion,256,132286,16360,16105,


insertion,512,617602,66080,65569,
insertion,512,499261,66978,66467,
insertion,512,492558,64483,63972,
insertion,512,485805,62864,62353,
insertion,512,445791,62654,62143,
insertion,512,506885,62139,61628,
insertion,512,97562,66958,66447,
insertion,512,91641,67192,66681,
insertion,512,93064,64397,63886,
insertion,512,92453,63553,63042,


insertion,1024,189393,260026,259003,
insertion,1024,185826,263960,262937,
insertion,1024,176770,262301,261278,
insertion,1024,177401,262921,261898,
insertion,1024,174715,254058,253035,
insertion,1024,186999,263720,262697,
insertion,1024,269643,265260,264237,
insertion,1024,330015,262573,261550,
insertion,1024,263250,249793,248770,
insertion,1024,289200,259366,258343,

type,size,time,comparisons,exchanges
insertion,4,3006,8,5,
insertion,4,1443,8,5,
insertion,4,1213,7,4,
insertion,4,1243,7,4,
insertion,4,1172,6,3,
insertion,4,1192,7,4,
insertion,4,1713,6,3,
insertion,4,1734,6,3,
insertion,4,1724,6,3,
insertion,4,1693,5,2,


insertion,8,2274,20,13,
insertion,8,2745,24,17,
insertion,8,3166,30,23,
insertion,8,2715,24,17,
insertion,8,2725,24,17,
insertion,8,3667,20,13,
insertion,8,4017,22,15,
insertion,8,5811,21,14,
insertion,8,2965,12,5,
insertion,8,3838,23,16,


insertion,16,8015,78,63,
insertion,16,6862,56,41,
insertion,16,6662,58,43,
insertion,16,6652,66,51,
insertion,16,8275,82,67,
insertion,16,8246,82,67,
insertion,16,5050,78,63,
insertion,16,5560,81,66,
insertion,16,3807,72,57,
insertion,16,5600,74,59,


insertion,32,15719,254,223,
insertion,32,12373,232,201,
insertion,32,14707,288,257,
insertion,32,22051,275,244,
insertion,32,13385,253,222,
insertion,32,14498,284,253,
insertion,32,15709,305,274,
insertion,32,15930,263,232,
insertion,32,12043,233,202,
insertion,32,14607,279,248,


insertion,64,38001,1003,940,
insertion,64,55814,1098,1035,
insertion,64,48240,1026,963,
insertion,64,57507,1131,1068,
insertion,64,51456,1110,1047,
insertion,64,49833,1059,996,
insertion,64,48871,1085,1022,
insertion,64,53711,1179,1116,
insertion,64,50334,1111,1048,
insertion,64,49934,1067,1004,


insertion,128,145422,4161,4034,
insertion,128,165740,4614,4487,
insertion,128,152034,4118,3991,
insertion,128,147196,4031,3904,
insertion,128,173724,4470,4343,
insertion,128,140262,3921,3794,
insertion,128,163846,4101,3974,
insertion,128,177142,3988,3861,
insertion,128,194383,4108,3981,
insertion,128,159328,3934,3807,


insertion,256,517027,16534,16279,
insertion,256,153888,16741,16486,
insertion,256,193471,16056,15801,
insertion,256,188172,15477,15222,
insertion,256,179306,15057,14802,
insertion,256,184014,16418,16163,
insertion,256,156031,15948,15693,
insertion,256,163335,16414,16159,
insertion,256,193572,17142,16887,
insertion,256,197990,16926,16671,


insertion,512,753208,65332,64821,
insertion,512,679601,67059,66548,
insertion,512,160390,68536,68025,
insertion,512,127899,64753,64242,
insertion,512,135072,67755,67244,
insertion,512,129031,64812,64301,
insertion,512,131416,67126,66615,
insertion,512,148958,61168,60657,
insertion,512,134762,62985,62474,
insertion,512,135594,64317,63806,


insertion,1024,268311,268977,267954,
insertion,1024,268542,264980,263957,
insertion,1024,260858,253181,252158,
insertion,1024,265036,249712,248689,
insertion,1024,275044,260421,259398,
insertion,1024,277469,264050,263027,
insertion,1024,178984,252993,251970,
insertion,1024,182160,267290,266267,
insertion,1024,166682,250370,249347,
insertion,1024,174226,259551,258528,

